IGN,region,rank_rating,_ability_1_casts,_ability_1_casts/match,_ability_1_casts/round,_ability_2_casts,_ability_2_casts/match,_ability_2_casts/round,_aces,_acs,_assists,_assists/match,_assists/round,_clutch,_clutches,_clutches__1v1,_clutches__1v2,_clutches__1v3,_clutches__1v4,_,_clutches_lost__1v2,_clutches_lost__1v3,_clutches_lost__1v4,_clutches_lost__1v5,_damage,_damage_delta_δ,_damage_received,_damage/match,_damage/minute,_damage/round,_ddδ/round,_dealt_bodyshots,_dealt_headshots,_dealt_legshots,_deaths,_deaths/match,_deaths/round,_defuses,_disconnects,_econ_rating,_econ_rating/round,_esr,_first_bloods,_first_bloods/match,_first_bloods/round,_first_deaths,_first_deaths/round,_flawless_rounds,_grenade_casts,_grenade_casts/match,_grenade_casts/round,_headshot,_headshots,_headshots/round,_k/d_ratio,_kad_ratio,_kast,_kda_ratio,_kills,_kills/match,_kills/round,_last_deaths,_losses,_matches_played,_most_kills__match,_multikills__1k,_multikills__2k,_multikills__3k,_multikills__4k,_multikills__5k,_multikills__6k,_mvps,_plants,_received_bodyshots,_received_headshots,_received_legshots,_rounds_lost,_rounds_played,_rounds_survived,_rounds_traded,_rounds_won,_score,_score/match,_suicides,_team_aces,_thrifty_rounds,_ties,_time_played,_ultimate_casts,_ultimate_casts/match,_ultimate_casts/round,_wins,Game_econ_rating/match,Game_matches_duration,Game_round_win,Game_rounds_duration,Game_win,Attack_acs,Attack_assists,Attack_assists/round,Attack_damage,Attack_damage_delta_δ,Attack_damage_received,Attack_damage/round,Attack_ddδ/round,Attack_deaths/round,Attack_esr,Attack_first_bloods,Attack_first_bloods/round,Attack_first_deaths,Attack_first_deaths/round,Attack_headshots,Attack_k/d_ratio,Attack_kast,Attack_kills,Attack_kills/round,Attack_plants/match,Attack_plants/round,Attack_round_win,Attack_rounds_lost,Attack_rounds_played,Attack_rounds_survived,Attack_rounds_traded,Attack_rounds_won,Attack_score,Defense_acs,Defense_assists,Defense_assists/round,Defense_damage,Defense_damage_delta_δ,Defense_damage_received,Defense_damage/round,Defense_ddδ/round,Defense_deaths,Defense_defuses/match,Defense_defuses/round,Defense_esr,Defense_first_bloods,Defense_first_bloods/round,Defense_first_deaths,Defense_first_deaths/round,Defense_headshots,Defense_k/d_ratio,Defense_kast,Defense_kills,Defense_kills/round,Defense_round_win,Defense_rounds_lost,Defense_rounds_played,Defense_rounds_survived,Defense_rounds_traded,Defense_rounds_won,Defense_score,Uncategorized_peak_rating,Uncategorized_performance_score,Uncategorized_rating,Combat_ability_1_casts,Combat_ability_1_casts/match,Combat_ability_1_casts/round,Combat_ability_2_casts,Combat_ability_2_casts/match,Combat_ability_2_casts/round,Combat_aces,Combat_acs,Combat_assists,Combat_assists/match,Combat_assists/round,Combat_clutch,Combat_clutches,Combat_clutches__1v1,Combat_clutches__1v2,Combat_clutches__1v3,Combat_clutches__1v4,Combat_,Combat_clutches_lost__1v2,Combat_clutches_lost__1v3,Combat_clutches_lost__1v4,Combat_clutches_lost__1v5,Combat_damage,Combat_damage_delta_δ,Combat_damage_received,Combat_damage/match,Combat_damage/minute,Combat_damage/round,Combat_ddδ/round,Combat_dealt_bodyshots,Combat_dealt_headshots,Combat_dealt_legshots,Combat_deaths,Combat_deaths/match,Combat_deaths/round,Combat_defuses,Combat_disconnects,Combat_econ_rating,Combat_econ_rating/round,Combat_esr,Combat_first_bloods,Combat_first_bloods/match,Combat_first_bloods/round,Combat_first_deaths,Combat_first_deaths/round,Combat_flawless_rounds,Combat_grenade_casts,Combat_grenade_casts/match,Combat_grenade_casts/round,Combat_headshot,Combat_headshots,Combat_headshots/round,Combat_k/d_ratio,Combat_kad_ratio,Combat_kast,Combat_kda_ratio,Combat_kills,Combat_kills/match,Combat_kills/round,Combat_last_deaths,Combat_losses,Combat_matches_played,Combat_most_kills__match,Combat_multikills__1k,Combat_multikills__2k,Combat_multikills__3k,Combat_multikills__4k,Combat_multikills__5k,Combat_multikills__6k,Combat_mvps,Combat_plants,Combat_received_bodyshots,Combat_received_headshots,Combat_received_legshots,Combat_rounds_lost,Combat_rounds_played,Combat_rounds_survived,Combat_rounds_traded,Combat_rounds_won,Combat_score,Combat_score/match,Combat_suicides,Combat_team_aces,Combat_thrifty_rounds,Combat_ties,Combat_time_played,Combat_ultimate_casts,Combat_ultimate_casts/match,Combat_ultimate_casts/round,Combat_wins
poppinsguide com#BUYYY,na,970,,,,,,,,,"1,517",7.0,0.3,2.4%,111,54,36,17,2,,86,114,86,57,"717,002","82,094","634,908","3,289.00",107.7,155.3,18,"7,412","2,883",791,"3,362",15.4,0.7,75,0,"14,138",3.1,0.55,573,2.63,0.1,476,0.1,166,"2,072",9.50,0.4,26.0%,"2,429",0.5,1.14,1.59,75.5%,1.36,"3,825",17.5,0.8,380,78,218,31,"1,339",682,273,58,15,0,39,709,"6,359","2,721",712,"2,128","4,617","1,372",867,"2,489","1,114,256","5,111",17,35,215,2,110h,590,2.71,0.1,138,65,30m 32s,53.9%,01m 26s,63.3%,219.2,751,0.3,"323,004",-559,"323,563",140.7,-0,"1,688",0.44,191,0.1,244,0.1,"1,102",1.03,75.4%,"1,743",0.8,3.25,0.3,50.2%,"1,144","2,295",668,502,"1,151","503,101",263.2,764,0.3,"393,998","82,653","311,345",169.7,36,"1,674",0.34,0.0,0.62,382,0.2,232,0.1,"1,327",1.25,75.6%,"2,086",0.9,57.6%,984,"2,322",704,365,"1,338","611,155","1,000",849,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make It Happen#tygod,na,911,,,,,,,,,"1,464",6.7,0.3,2.3%,105,59,37,5,3,,101,111,121,55,"707,596","137,544","570,052","3,231.03",99.7,155.9,30,"5,782","3,261",429,"2,999",13.7,0.7,89,0,"14,524",3.2,0.54,439,2.00,0.1,371,0.1,217,"1,751",8.00,0.4,34.4%,"2,881",0.6,1.25,1.73,76.4%,1.49,"3,735",17.1,0.8,417,74,219,31,"1,409",643,263,58,4,0,40,522,"5,383","2,392",466,"2,075","4,538","1,541",739,"2,463","1,069,255","4,882",1,26,444,2,118h,551,2.52,0.1,143,66,32m 25s,54.3%,01m 33s,65.3%,225.3,734,0.3,"338,359","36,379","301,980",149.1,16,"1,583",0.49,204,0.1,213,0.1,"1,408",1.12,75.6%,"1,779",0.8,2.38,0.2,51.3%,"1,106","2,269",689,419,"1,163","511,208",245.9,722,0.3,"369,237","101,165","268,072",162.7,45,"1,416",0.41,0.0,0.60,235,0.1,158,0.1,"1,473",1.38,77.3%,"1,957",0.9,57.3%,969,"2,269",852,320,"1,300","558,047","1,154",873,911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENVY Eggsterr#NJLTC,na,939,,,,,,,,,"1,027",5.4,0.3,1.9%,76,42,22,8,3,,72,104,70,49,"625,096","66,945","558,151","3,272.75",106.7,156.5,17,"7,449","3,212",765,"2,952",15.5,0.7,56,0,"11,451",2.9,0.53,620,3.25,0.2,549,0.1,133,"2,633",13.79,0.7,28.1%,"2,675",0.7,1.17,1.52,73.9%,1.34,"3,452",18.1,0.9,313,72,191,34,"1,196",652,214,65,10,0,43,73,"5,756","2,420",631,"1,873","3,994","1,041",726,"2,121","989,734","5,182",0,35,747,4,97h,560,2.93,0.1,115,60,30m 39s,53.1%,01m 27s,60.2%,242.7,528,0.3,"304,114","6,322","297,792",152.0,3,"1,576",0.47,321,0.2,364,0.2,"1,322",1.07,72.2%,"1,688",0.8,0.38,0.0,50.4%,993,"2,001",426,451,"1,008","485,636",252.9,497,0.2,"320,982","60,623","260,359",161.1,30,"1,376",0.29,0.0,0.62,299,0.2,185,0.1,"1,353",1.28,75.7%,"1,764",0.9,55.8%,880,"1,993",615,275,"1,113","504,098","1,341",836,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9 MCDS WORKER#FRIES,na,930,,,,,,,,,"1,288",4.3,0.2,1.3%,82,42,27,9,3,,75,122,119,58,"1,151,311","214,935","936,376","3,850.54",125.6,183.0,34,"10,997","5,663",846,"4,875",16.3,0.8,53,0,"20,732",3.3,0.59,"1,147",3.84,0.2,781,0.1,253,"2,993",10.01,0.5,32.3%,"4,860",0.8,1.32,1.58,75.2%,1.45,"6,417",21.5,1.0,396,120,299,45,"2,007","1,112",470,159,29,0,121,151,"9,611","4,049","1,082","2,960","6,290","1,498","1,265","3,330","1,807,878","6,046",10,47,441,2,152h,916,3.06,0.1,177,69,30m 38s,52.9%,01m 27s,59.2%,274.6,605,0.2,"544,940","58,375","486,565",173.7,19,"2,507",0.52,490,0.2,444,0.1,"2,402",1.22,74.1%,"3,052",1.0,0.51,0.0,48.6%,"1,611","3,137",674,704,"1,526","861,269",300.2,680,0.2,"606,371","156,560","449,811",192.3,50,"2,368",0.18,0.0,0.66,657,0.2,337,0.1,"2,458",1.42,76.3%,"3,370",1.1,57.2%,"1,349","3,153",824,561,"1,804","946,609","1,294",922,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EG supamen#612,na,930,,,,,,,,255.7,759,7.3,0.4,2.8%,59,35,17,4,3,,47,58,65,29,"357,286","81,024","276,262","3,435.44",109.7,166.7,38,"2,754","1,782",241,"1,427",13.7,0.7,47,0,"7,536",3.5,0.61,230,2.21,0.1,150,0.1,102,"1,781",17.12,0.8,37.3%,"1,591",0.7,1.38,1.91,78.6%,1.65,"1,968",18.9,0.9,217,23,104,36,685,335,142,38,7,0,30,244,"2,760","1,215",220,892,"2,143",856,305,"1,251","547,891","5,268",14,14,192,0,54h,267,2.57,0.1,81,72,31m 19s,58.4%,01m 31s,77.9%,253.0,368,0.3,"173,151","32,608","140,543",163.5,31,717,0.52,89,0.1,81,0.1,795,1.35,77.8%,970,0.9,2.35,0.2,55.6%,470,"1,059",422,152,589,"267,938",258.3,390,0.4,"184,135","48,416","135,719",169.9,45,710,0.45,0.0,0.67,141,0.1,69,0.1,796,1.41,79.3%,998,0.9,61.1%,422,"1,084",434,153,662,"279,953",955,938,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEV Rossy#Amen,na,917,,,,,,,,,,6.0,0.3,2.9%,128,61,54,8,5,,104,177,141,67,"749,721","186,413","563,308","3,553.18",111.4,169.0,42,"5,804","3,591",426,"2,959",14.0,0.7,81,0,"14,446",3.3,0.57,400,1.90,0.1,307,0.1,166,"2,870",13.60,0.6,36.6%,"3,198",0.7,1.37,1.80,77.1%,1.59,"4,058",19.2,0.9,513,75,211,36,"1,383",752,284,74,4,1,52,289,"5,808","2,443",650,"2,033","4,436","1,509",620,"2,403","1,128,606","5,349",4,30,337,1,112h,604,2.86,0.1,135,68,31m 54s,54.2%,01m 31s,64.0%,245.2,606,0.3,"356,228","71,704","284,524",162.6,33,"1,496",0.50,169,0.1,166,0.1,"1,581",1.31,76.6%,"1,957",0.9,1.37,0.1,51.6%,"1,061","2,191",714,327,"1,130","537,175",263.4,663,0.3,"393,493","114,709","278,784",175.3,51,"1,463",0.38,0.0,0.62,231,0.1,141,0.1,"1,617",1.44,77.6%,"2,104",0.9,56.7%,972,"2,245",795,293,"1,273","591,431","1,134",925,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ttv jowa#sama,na,896,,,,,,,,,"3,276",6.6,0.3,2.0%,211,124,65,18,2,,224,278,220,100,"1,731,191","254,817","1,476,374","3,483.28",109.3,163.0,24,"15,176","7,991","1,530","7,681",15.5,0.7,165,0,"32,893",3.1,0.57,"1,230",2.47,0.1,929,0.1,409,"6,995",14.07,0.7,32.4%,"7,003",0.7,1.19,1.62,77.3%,1.41,"9,178",18.5,0.9,906,183,497,42,"3,339","1,668",611,138,23,1,78,728,"14,947","6,442","1,627","4,914","10,624","3,249","2,044","5,710","2,624,757","5,281",39,83,598,4,263h,"1,361",2.74,0.1,310,66,31m 51s,53.7%,01m 29s,62.4%,230.1,"1,557",0.3,"787,274","22,180","765,094",150.6,4,"3,994",0.49,541,0.1,559,0.1,"3,241",1.05,75.4%,"4,176",0.8,1.46,0.1,49.0%,"2,669","5,229","1,404","1,116","2,560","1,202,943",263.5,"1,713",0.3,"943,917","232,637","711,280",175.0,43,"3,687",0.33,0.0,0.65,689,0.1,370,0.1,"3,762",1.36,79.2%,"5,005",0.9,58.4%,"2,245","5,395","1,845",928,"3,150","1,421,814","1,131",888,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poppinsguide com#BUY,na,894,,,,,,,,,,7.1,0.3,2.6%,223,122,69,24,6,,134,203,191,88,"1,332,266","174,920","1,157,346","3,330.66",108.4,157.4,21,"13,842","5,433","1,522","6,142",15.4,0.7,133,0,"26,029",3.1,0.51,"1,024",2.56,0.1,983,0.1,313,"3,450",8.62,0.4,26.1%,"4,600",0.5,1.16,1.63,75.8%,1.40,"7,149",17.9,0.8,682,143,400,32,"2,536","1,249",484,139,21,1,75,"1,430","11,794","4,972","1,231","3,874","8,464","2,546","1,569","4,590","2,064,550","5,161",24,85,716,3,204h,"1,097",2.74,0.1,254,65,30m 43s,54.2%,01m 27s,63.5%,226.5,"1,508",0.4,"618,681","32,263","586,418",145.1,8,"3,072",0.42,383,0.1,530,0.1,"2,186",1.09,76.6%,"3,361",0.8,3.58,0.3,52.4%,"2,028","4,264","1,316",919,"2,236","965,942",261.6,"1,341",0.3,"713,585","142,657","570,928",169.9,34,"3,070",0.33,0.0,0.59,641,0.2,453,0.1,"2,414",1.24,75.0%,"3,792",0.9,56.0%,"1,846","4,200","1,230",650,"2,354","1,098,608","1,292",866,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2 JonahP#0004,na,888,,,,,,,,,,6.8,0.3,3.4%,76,41,21,12,2,,54,92,57,22,"343,946","64,640","279,306","3,275.68",100.1,154.1,29,"2,760","1,483",219,"1,477",14.1,0.7,47,0,"6,720",3.0,0.55,212,2.02,0.1,174,0.1,81,"1,458",13.89,0.7,33.2%,"1,329",0.6,1.24,1.72,76.4%,1.48,"1,828",17.4,0.8,241,37,105,35,723,300,117,36,2,0,13,131,"2,677","1,258",248,"1,028","2,232",751,311,"1,204","520,115","4,953",7,15,159,0,57h,298,2.84,0.1,68,64,32m 44s,53.9%,01m 32s,64.8%,227.4,347,0.3,"165,162","22,409","142,753",149.2,20,746,0.54,96,0.1,81,0.1,646,1.20,75.8%,895,0.8,1.25,0.1,51.9%,533,"1,107",357,174,574,"251,731",238.6,369,0.3,"178,784","42,231","136,553",158.9,38,730,0.45,0.0,0.56,116,0.1,93,0.1,683,1.28,77.1%,933,0.8,56.0%,495,"1,125",394,137,630,"268,384","1,098",860,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bloonsplayer#add,na,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,31m 36s,53.8%,01m 31s,62.6%,204.9,296,0.2,"173,992","8,542","165,450",137.5,7,883,0.48,79,0.1,85,0.1,731,1.07,73.5%,946,0.7,1.42,0.1,51.5%,613,"1,265",387,227,652,"259,232",216.5,307,0.2,"190,934","30,771","160,163",147.7,24,845,0.32,0.0,0.56,116,0.1,90,0.1,798,1.18,74.0%,995,0.8,56.1%,568,"1,293",454,172,725,"279,955","1,160",719,886,,,,,,,,,604,4.9,0.2,2.3%,60,33,14,11,1,,56,95,86,46,"364,926","39,313","325,613","2,966.88",93.9,142.7,15,"2,729","1,688",196,"1,728",14.0,0.7,39,0,"7,342",2.9,0.53,195,1.59,0.1,175,0.1,104,"2,391",19.44,0.9,36.6%,"1,529",0.6,1.12,1.47,73.8%,1.30,"1,939",15.8,0.8,301,45,123,37,776,358,115,22,2,1,12,175,"3,224","1,404",296,"1,181","2,558",841,399,"1,377","539,187","4,384",2,21,164,1,64h,297,2.41,0.1,77
LOUD v1nNy#s2i,na,879,,,,,,,,,"1,759",5.7,0.3,2.1%,136,84,43,7,2,,153,230,187,85,"868,866","9,372","859,494","2,811.86",84.7,133.0,1,"5,946","4,083",380,"4,539",14.7,0.7,124,0,"16,588",2.5,0.51,535,1.73,0.1,518,0.1,254,"4,199",13.59,0.6,39.2%,"3,714",0.6,1.04,1.42,71.9%,1.23,"4,701",15.2,0.7,724,141,309,33,"2,000",858,253,51,5,0,16,614,"7,709","3,681",600,"3,186","6,533","2,015",909,"3,347","1,314,722","4,255",3,56,605,3,171h,851,2.75,0.1,165,54,33m 13s,51.2%,01m 34s,53.4%,191.5,940,0.3,"420,148","-35,163","455,311",126.3,-11,"2,400",0.44,195,0.1,252,0.1,"1,820",0.95,70.9%,"2,274",0.7,1.99,0.2,48.1%,"1,725","3,326",935,508,"1,601","637,062",211.3,816,0.3,"448,718","44,535","404,183",139.9,14,"2,139",0.40,0.0,0.56,340,0.1,266,0.1,"1,894",1.14,73.0%,"2,430",0.8,54.4%,"1,461","3,207","1,080",401,"1,746","677,660","1,025",553,879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sen z#5193,na,875,,,,,,,,276.4,652,5.3,0.2,2.1%,56,30,17,8,1,,67,85,67,27,"474,187","131,295","342,892","3,886.78",120.0,180.5,50,"4,536","2,009",423,"1,761",14.4,0.7,43,0,"9,174",3.5,0.63,420,3.44,0.2,249,0.1,130,"1,031",8.45,0.4,28.8%,"1,766",0.7,1.46,1.83,79.0%,1.65,"2,571",21.1,1.0,251,43,122,40,824,467,188,49,11,0,46,147,"3,410","1,475",382,"1,173","2,627",900,433,"1,454","726,230","5,953",12,23,227,1,65h,304,2.49,0.1,78,75,32m 23s,55.3%,01m 30s,63.9%,272.9,300,0.2,"224,700","50,026","174,674",175.8,39,889,0.58,217,0.2,157,0.1,880,1.39,78.2%,"1,240",1.0,1.20,0.1,55.3%,571,"1,278",408,246,707,"348,824",279.8,350,0.3,"249,487","81,269","168,218",184.9,60,872,0.35,0.0,0.69,203,0.2,92,0.1,886,1.53,79.7%,"1,333",1.0,55.4%,602,"1,349",492,187,747,"377,406","1,309",965,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M80 okeanos#502,na,875,,,,,,,,,"2,750",4.9,0.2,1.4%,165,92,53,15,4,,182,262,264,131,"1,924,728","217,577","1,707,151","3,437.01",110.0,161.6,18,"17,068","8,263","1,114","9,083",16.2,0.8,168,0,"33,946",2.9,0.54,"1,749",3.12,0.1,"1,475",0.1,428,"6,085",10.87,0.5,31.2%,"7,607",0.6,1.17,1.47,73.7%,1.32,"10,618",19.0,0.9,918,228,560,38,"3,635","1,873",771,192,29,2,125,331,"17,101","7,358","1,886","5,600","11,907","3,102","2,331","6,307","2,996,583","5,351",38,99,"1,003",3,291h,"1,698",3.03,0.1,329,61,31m 15s,53.0%,01m 28s,58.8%,241.6,"1,295",0.2,"915,119","16,113","899,006",153.9,3,"4,752",0.48,801,0.1,861,0.1,"3,776",1.07,72.6%,"5,090",0.9,0.59,0.1,50.0%,"2,976","5,947","1,346","1,375","2,971","1,436,799",261.7,"1,452",0.2,"1,009,609","201,464","808,145",169.4,34,"4,331",0.30,0.0,0.61,948,0.2,614,0.1,"3,831",1.28,74.9%,"5,529",0.9,56.0%,"2,624","5,960","1,756",956,"3,336","1,559,784","1,035",839,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA ducq#smoph,na,857,,,,,,,,268.6,984,4.9,0.2,3.1%,128,72,38,15,1,,117,165,154,56,"746,837","209,750","537,087","3,752.95",114.7,178.5,50,"5,059","3,656",387,"2,761",13.9,0.7,92,0,"14,719",3.5,0.60,445,2.24,0.1,301,0.1,161,"3,513",17.65,0.8,40.2%,"3,365",0.8,1.47,1.83,76.6%,1.65,"4,061",20.4,1.0,492,73,199,38,"1,293",718,287,101,14,0,64,178,"5,304","2,325",401,"1,929","4,183","1,526",553,"2,254","1,123,529","5,646",19,34,491,2,108h,552,2.77,0.1,124,74,32m 43s,53.9%,01m 33s,62.3%,257.4,501,0.2,"357,433","70,740","286,693",169.7,34,"1,488",0.53,201,0.1,176,0.1,"1,646",1.31,74.8%,"1,953",0.9,0.89,0.1,49.9%,"1,055","2,106",679,324,"1,051","542,035",280.0,482,0.2,"389,404","139,010","250,394",187.5,67,"1,273",0.46,0.0,0.66,244,0.1,125,0.1,"1,719",1.66,78.4%,"2,111",1.0,57.9%,874,"2,077",847,229,"1,203","581,494",858,944,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lucas#fonem,na,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,31m 53s,54.1%,01m 30s,63.5%,231.0,"1,092",0.3,"558,418","76,114","482,304",152.5,21,"2,549",0.47,279,0.1,316,0.1,"2,236",1.17,75.4%,"2,977",0.8,1.31,0.1,50.0%,"1,830","3,661","1,126",624,"1,831","845,724",246.7,"1,175",0.3,"614,211","149,518","464,693",162.3,40,"2,430",0.36,0.0,0.62,429,0.1,259,0.1,"2,339",1.35,77.8%,"3,286",0.9,58.0%,"1,588","3,785","1,369",533,"2,197","933,904","1,044",883,857,,,,,,,,239.0,"2,270",6.4,0.3,2.7%,198,136,44,15,3,,207,247,246,120,"1,172,629","225,632","946,997","3,321.90",104.2,157.5,30,"10,653","5,229",956,"4,979",14.1,0.7,127,0,"22,837",3.1,0.55,708,2.01,0.1,575,0.1,265,"6,299",17.84,0.8,31.1%,"4,575",0.6,1.26,1.71,76.6%,1.48,"6,254",17.7,0.8,871,124,353,34,"2,312","1,142",404,91,17,1,58,462,"9,306","4,130",767,"3,418","7,446","2,495","1,157","4,028","1,779,628","5,041",6,69,534,5,187h,"1,036",2.93,0.1,224
envy ion#469,na,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech#777,na,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2G gobera#2001,na,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN bang#0000,na,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeek#777,na,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noxy#100,na,843,,,,,,,,,,,0.3,3.5%,82,46,20,10,4,,55,85,55,37,"357,249","47,512","309,737","3,133.76",103.9,154.6,21,"3,125","1,656",261,"1,632",14.3,0.7,47,0,"7,466",3.2,0.57,203,1.78,0.1,155,0.1,86,"1,456",12.77,0.6,32.8%,"1,449",0.6,1.17,1.58,74.7%,1.37,"1,902",16.7,0.8,265,38,114,31,703,347,112,36,5,0,17,160,"3,174","1,346",271,"1,059","2,311",756,362,"1,252","537,882","4,718",8,20,405,1,57h,262,2.30,0.1,75,65,30m 09s,54.2%,01m 29s,65.8%,232.5,314,0.3,"182,027","17,343","164,684",153.7,15,864,0.51,87,0.1,85,0.1,783,1.14,72.6%,988,0.8,1.40,0.1,50.3%,589,"1,184",357,196,595,"275,292",233.0,360,0.3,"175,222","30,169","145,053",155.5,27,768,0.41,0.0,0.62,116,0.1,70,0.1,666,1.19,76.9%,914,0.8,58.3%,470,"1,127",399,166,657,"262,590",958,828,843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
