IGN,region,rank_rating,Combat_ability_1_casts,Combat_ability_1_casts/match,Combat_ability_1_casts/round,Combat_ability_2_casts,Combat_ability_2_casts/match,Combat_ability_2_casts/round,Combat_aces,Combat_acs,Combat_assists,Combat_assists/match,Combat_assists/round,Combat_clutch,Combat_clutches,Combat_clutches__1v1,Combat_clutches__1v2,Combat_clutches__1v3,Combat_clutches__1v4,Combat_clutches_lost__1v2,Combat_clutches_lost__1v3,Combat_clutches_lost__1v4,Combat_clutches_lost__1v5,Combat_damage,Combat_damage_delta_δ,Combat_damage_received,Combat_damage/match,Combat_damage/minute,Combat_damage/round,Combat_ddδ/round,Combat_dealt_bodyshots,Combat_dealt_headshots,Combat_dealt_legshots,Combat_deaths,Combat_deaths/match,Combat_deaths/round,Combat_defuses,Combat_disconnects,Combat_econ_rating,Combat_econ_rating/round,Combat_esr,Combat_first_bloods,Combat_first_bloods/match,Combat_first_bloods/round,Combat_first_deaths,Combat_first_deaths/round,Combat_flawless_rounds,Combat_grenade_casts,Combat_grenade_casts/match,Combat_grenade_casts/round,Combat_headshot,Combat_headshots,Combat_headshots/round,Combat_k/d_ratio,Combat_kad_ratio,Combat_kast,Combat_kda_ratio,Combat_kills,Combat_kills/match,Combat_kills/round,Combat_last_deaths,Combat_losses,Combat_matches_played,Combat_most_kills__match,Combat_multikills__1k,Combat_multikills__2k,Combat_multikills__3k,Combat_multikills__4k,Combat_multikills__5k,Combat_multikills__6k,Combat_mvps,Combat_plants,Combat_received_bodyshots,Combat_received_headshots,Combat_received_legshots,Combat_rounds_lost,Combat_rounds_played,Combat_rounds_survived,Combat_rounds_traded,Combat_rounds_won,Combat_score,Combat_score/match,Combat_suicides,Combat_team_aces,Combat_thrifty_rounds,Combat_ties,Combat_time_played,Combat_ultimate_casts,Combat_ultimate_casts/match,Combat_ultimate_casts/round,Combat_wins,Game_econ_rating/match,Game_matches_duration,Game_round_win,Game_rounds_duration,Game_win,Attack_acs,Attack_assists,Attack_assists/round,Attack_damage,Attack_damage_delta_δ,Attack_damage_received,Attack_damage/round,Attack_ddδ/round,Attack_deaths/round,Attack_esr,Attack_first_bloods,Attack_first_bloods/round,Attack_first_deaths,Attack_first_deaths/round,Attack_headshots,Attack_k/d_ratio,Attack_kast,Attack_kills,Attack_kills/round,Attack_plants/match,Attack_plants/round,Attack_round_win,Attack_rounds_lost,Attack_rounds_played,Attack_rounds_survived,Attack_rounds_traded,Attack_rounds_won,Attack_score,Defense_acs,Defense_assists,Defense_assists/round,Defense_damage,Defense_damage_delta_δ,Defense_damage_received,Defense_damage/round,Defense_ddδ/round,Defense_deaths,Defense_defuses/match,Defense_defuses/round,Defense_esr,Defense_first_bloods,Defense_first_bloods/round,Defense_first_deaths,Defense_first_deaths/round,Defense_headshots,Defense_k/d_ratio,Defense_kast,Defense_kills,Defense_kills/round,Defense_round_win,Defense_rounds_lost,Defense_rounds_played,Defense_rounds_survived,Defense_rounds_traded,Defense_rounds_won,Defense_score,Uncategorized_peak_rating,Uncategorized_performance_score,Uncategorized_rating
UNC DaFt#3010,ap,901,"2,491",15.10,0.7,"5,458",33.08,1.5,5,215.7,981,5.9,0.3,2.4%,85,43,29,11,1,94,125,111,60,"512,880","41,270","471,610","3,108.36",92.4,143.6,12,"4,935","2,370",393,"2,504",15.2,0.7,58,0,"9,615",2.7,0.52,277,1.68,0.1,252,0.1,117,"2,558",15.50,0.7,30.8%,"2,073",0.6,1.10,1.49,74.9%,1.29,"2,748",16.7,0.8,412,69,165,32,"1,093",500,149,46,5,0,14,306,"4,479","2,059",466,"1,732","3,571","1,141",582,"1,839","770,434","4,669",16,35,348,3,92h,401,2.43,0.1,93,58,33m 39s,51.5%,01m 33s,56.4%,211.9,497,0.3,"256,664","11,713","244,951",141.7,6,"1,291",0.50,134,0.1,132,0.1,"1,053",1.05,74.7%,"1,360",0.8,1.85,0.2,50.1%,903,"1,811",557,319,908,"383,718",219.7,480,0.3,"256,216","29,557","226,659",145.6,17,"1,213",0.35,0.0,0.54,143,0.1,120,0.1,"1,020",1.15,75.2%,"1,389",0.8,52.9%,829,"1,760",584,263,931,"386,716","1,003",719,901
FANCY Nia#Mao,ap,899,"3,653",12.34,0.6,"9,714",32.82,1.5,16,234.7,"1,435",4.8,0.2,2.1%,133,76,39,12,3,116,148,157,69,"976,090","55,884","920,206","3,297.60",99.7,152.4,9,"9,348","4,748",894,"4,826",16.3,0.8,110,0,"17,983",2.8,0.54,854,2.89,0.1,726,0.1,242,"3,189",10.77,0.5,31.7%,"4,164",0.7,1.10,1.40,72.2%,1.25,"5,331",18.0,0.8,538,134,296,35,"1,936",940,340,95,23,0,48,299,"9,081","3,965",940,"3,140","6,406","1,805","1,100","3,266","1,503,511","5,079",19,45,512,3,163h,859,2.90,0.1,159,61,33m 05s,51.0%,01m 31s,53.7%,221.7,694,0.2,"456,005","-15,384","471,389",143.1,-5,"2,486",0.49,400,0.1,412,0.1,"1,993",1.00,70.5%,"2,486",0.8,1.01,0.1,47.9%,"1,659","3,187",821,618,"1,528","706,571",247.6,735,0.2,"520,085","71,268","448,817",161.6,22,"2,339",0.37,0.0,0.59,454,0.1,314,0.1,"2,171",1.22,73.8%,"2,845",0.9,54.0%,"1,481","3,219",984,482,"1,738","796,940",921,702,899
GE Kr1stal#5252,ap,898,"1,712",12.68,0.6,"2,995",22.19,1.0,3,223.1,754,5.6,0.3,3.4%,96,56,25,11,1,103,141,110,47,"431,394","83,262","348,132","3,195.51",93.9,150.6,29,"3,778","1,773",389,"1,825",13.5,0.6,80,0,"8,682",3.0,0.56,224,1.66,0.1,179,0.1,96,"1,507",11.16,0.5,29.8%,"1,594",0.6,1.24,1.66,74.0%,1.45,"2,270",16.8,0.8,414,50,135,30,910,392,136,38,4,0,16,253,"3,134","1,578",262,"1,338","2,865","1,047",337,"1,527","639,130","4,734",3,23,281,2,76h,414,3.07,0.1,83,64,34m 01s,53.3%,01m 36s,61.5%,219.6,322,0.2,"208,219","29,457","178,762",146.9,21,929,0.54,97,0.1,83,0.1,797,1.21,73.0%,"1,126",0.8,1.87,0.2,50.9%,696,"1,417",495,162,721,"311,224",226.5,428,0.3,"223,175","53,805","169,370",154.1,37,896,0.59,0.1,0.57,127,0.1,96,0.1,797,1.28,74.9%,"1,148",0.8,55.7%,642,"1,448",552,175,806,"327,906",966,799,898
CGZ bazz#6676,ap,891,"1,777",6.68,0.3,"6,478",24.35,1.1,11,255.7,"1,376",5.2,0.2,1.7%,99,55,32,10,0,114,160,163,69,"983,442","153,573","829,869","3,697.15",107.0,170.1,27,"8,299","4,253",719,"4,321",16.2,0.7,70,0,"17,850",3.1,0.54,767,2.88,0.1,648,0.1,217,"2,785",10.47,0.5,32.0%,"3,908",0.7,1.20,1.52,72.3%,1.36,"5,197",19.5,0.9,514,113,266,37,"1,722",961,378,86,15,0,69,262,"7,768","3,834",664,"2,786","5,781","1,583",854,"2,995","1,477,983","5,556",14,43,474,7,153h,628,2.36,0.1,146,67,34m 33s,51.8%,01m 35s,54.9%,248.3,682,0.2,"471,523","50,428","421,095",165.3,18,"2,193",0.51,331,0.1,313,0.1,"1,899",1.14,71.8%,"2,500",0.9,0.98,0.1,50.1%,"1,425","2,853",724,460,"1,428","708,367",262.8,692,0.2,"511,919","103,145","408,774",174.8,35,"2,128",0.26,0.0,0.57,436,0.1,335,0.1,"2,009",1.27,72.8%,"2,697",0.9,53.5%,"1,361","2,928",859,394,"1,567","769,616",984,819,891
FANCY mihloggg#sogin,ap,888,"2,124",11.06,0.5,"4,267",22.22,1.1,9,232.6,975,5.1,0.2,3.1%,126,74,38,10,3,121,168,123,56,"616,464","108,806","507,658","3,210.75",98.0,152.4,27,"4,779","2,891",390,"2,693",14.0,0.7,94,0,"12,158",3.0,0.57,374,1.95,0.1,285,0.1,120,"1,799",9.37,0.4,35.9%,"2,549",0.6,1.27,1.63,76.4%,1.45,"3,427",17.8,0.8,506,82,192,40,"1,334",621,206,45,11,0,30,546,"5,047","2,164",521,"1,936","4,044","1,358",611,"2,108","940,726","4,900",0,30,198,2,104h,499,2.60,0.1,108,63,32m 45s,52.1%,01m 33s,56.2%,215.7,507,0.3,"284,676","21,543","263,133",140.4,11,"1,389",0.47,150,0.1,167,0.1,"1,192",1.14,75.6%,"1,586",0.8,2.84,0.3,49.4%,"1,025","2,027",641,342,"1,002","437,320",249.6,468,0.2,"331,788","87,263","244,525",164.5,43,"1,304",0.49,0.0,0.65,224,0.1,118,0.1,"1,357",1.41,77.2%,"1,843",0.9,54.8%,911,"2,017",717,269,"1,106","503,406",961,843,888
Lunaris#1909,ap,887,"1,845",7.69,0.4,"5,858",24.41,1.2,16,261.1,"1,129",4.7,0.2,2.1%,98,50,33,10,4,92,136,88,38,"809,899","192,443","617,456","3,374.58",108.9,171.7,41,"7,403","3,360",915,"3,245",13.5,0.7,73,0,"17,379",3.7,0.60,660,2.75,0.1,435,0.1,221,"2,159",9.00,0.5,28.8%,"3,086",0.7,1.34,1.69,74.5%,1.51,"4,345",18.1,0.9,412,69,240,41,"1,407",771,331,77,19,0,68,182,"7,087","2,472",622,"1,989","4,718","1,549",657,"2,729","1,231,943","5,133",25,35,224,3,123h,604,2.52,0.1,168,72,30m 59s,57.8%,01m 34s,70.0%,263.2,533,0.2,"402,840","89,722","313,118",172.0,38,"1,652",0.57,322,0.1,244,0.1,"1,591",1.32,73.7%,"2,175",0.9,0.76,0.1,56.6%,"1,017","2,342",732,345,"1,325","616,437",259.1,585,0.2,"407,059","102,721","304,338",171.3,43,"1,593",0.30,0.0,0.64,338,0.1,191,0.1,"1,495",1.36,75.3%,"2,170",0.9,59.1%,972,"2,376",817,312,"1,404","615,506",887,918,887
G2 leaf#10ga,ap,886,"2,509",18.45,0.9,"3,635",26.73,1.3,3,217.1,872,6.4,0.3,2.8%,82,50,21,8,2,70,83,96,44,"410,961","44,356","366,605","3,021.77",88.5,142.3,15,"4,336","1,660",378,"1,909",14.0,0.7,60,0,"7,868",2.7,0.54,274,2.01,0.1,235,0.1,106,"2,110",15.51,0.7,26.0%,"1,459",0.5,1.16,1.62,73.8%,1.39,"2,216",16.3,0.8,315,54,136,32,879,378,143,32,5,0,17,241,"3,725","1,569",347,"1,326","2,889",991,388,"1,563","627,176","4,612",5,13,214,1,77h,336,2.47,0.1,81,58,34m 08s,54.1%,01m 36s,59.6%,204.3,450,0.3,"188,145","-5,180","193,325",131.8,-4,"1,006",0.50,131,0.1,131,0.1,690,1.03,72.9%,"1,033",0.7,1.77,0.2,52.6%,677,"1,428",429,249,751,"291,796",229.6,417,0.3,"222,816","49,536","173,280",152.5,34,903,0.44,0.0,0.58,143,0.1,104,0.1,769,1.31,74.6%,"1,184",0.8,55.6%,649,"1,461",562,139,812,"335,380",949,745,886
Manggong#3333,ap,884,"2,777",10.21,0.5,"5,867",21.57,1.0,12,238.1,"1,089",4.0,0.2,1.5%,85,53,16,11,4,99,150,117,57,"899,151","89,169","809,982","3,305.70",100.0,157.2,16,"8,151","3,959",694,"4,197",15.4,0.7,93,0,"17,023",3.0,0.54,735,2.70,0.1,621,0.1,213,"2,613",9.61,0.5,30.9%,"3,574",0.6,1.15,1.41,72.0%,1.28,"4,820",17.7,0.8,461,127,272,36,"1,736",869,324,78,13,0,51,129,"8,051","3,370",865,"2,807","5,720","1,539",927,"2,913","1,362,146","5,008",2,42,439,1,149h,733,2.69,0.1,144,63,33m 02s,50.9%,01m 34s,52.9%,233.9,544,0.2,"447,083","22,442","424,641",153.5,8,"2,191",0.51,363,0.1,354,0.1,"1,847",1.10,71.2%,"2,421",0.8,0.47,0.0,50.3%,"1,447","2,913",731,558,"1,466","681,407",242.5,542,0.2,"452,068","66,727","385,341",161.1,24,"2,006",0.34,0.0,0.58,372,0.1,267,0.1,"1,727",1.20,72.8%,"2,402",0.9,51.5%,"1,360","2,807",808,369,"1,447","680,739",955,734,884
CGZ KEN#2006,ap,882,"2,150",11.62,0.5,"4,184",22.62,1.1,5,265.3,934,5.0,0.2,2.2%,86,46,20,12,6,82,134,100,44,"706,237","194,999","511,238","3,817.50",109.6,179.7,50,"6,946","2,747",498,"2,670",14.4,0.7,75,0,"13,112",3.3,0.58,537,2.90,0.1,386,0.1,159,"1,870",10.11,0.5,27.0%,"2,410",0.6,1.36,1.71,75.3%,1.54,"3,643",19.7,0.9,382,70,185,35,"1,244",637,287,56,8,0,59,151,"5,075","2,257",510,"1,856","3,930","1,292",604,"2,074","1,042,588","5,636",8,35,474,0,107h,507,2.74,0.1,115,71,34m 50s,52.8%,01m 38s,62.2%,256.5,454,0.2,"345,674","71,160","274,514",173.5,36,"1,437",0.53,278,0.1,247,0.1,"1,253",1.23,72.7%,"1,774",0.9,0.82,0.1,50.8%,981,"1,992",574,348,"1,011","510,959",274.3,476,0.2,"360,563","123,839","236,724",186.0,64,"1,233",0.41,0.0,0.65,259,0.1,139,0.1,"1,157",1.52,78.0%,"1,869",1.0,54.9%,875,"1,938",718,256,"1,063","531,629","1,077",923,882
ZOL LOPEZ#2525,ap,880,"2,125",15.98,0.7,"3,024",22.74,1.1,4,228.2,644,4.8,0.2,2.1%,61,36,16,4,3,80,87,96,36,"432,914","48,936","383,978","3,254.99",97.9,151.3,17,"3,720","1,818",289,"2,029",15.3,0.7,45,0,"8,330",2.9,0.54,290,2.18,0.1,246,0.1,97,"2,384",17.92,0.8,31.2%,"1,653",0.6,1.16,1.48,75.0%,1.32,"2,356",17.7,0.8,307,58,133,35,939,446,120,30,9,0,17,98,"3,687","1,656",338,"1,371","2,862",871,450,"1,491","653,126","4,911",2,32,84,1,73h,343,2.58,0.1,74,63,33m 14s,52.1%,01m 32s,55.6%,230.2,313,0.2,"218,011","17,318","200,693",151.7,12,"1,046",0.51,141,0.1,134,0.1,869,1.14,74.2%,"1,192",0.8,0.74,0.1,50.1%,717,"1,437",413,255,720,"330,856",226.2,331,0.2,"214,903","31,618","183,285",150.8,22,983,0.34,0.0,0.57,149,0.1,112,0.1,784,1.18,75.9%,"1,164",0.8,54.1%,654,"1,425",458,195,771,"322,270","1,004",795,880
crazyguyJQKA2#Sâm,ap,870,"3,425",17.56,0.8,"4,063",20.84,1.0,6,220.5,"1,053",5.4,0.3,2.3%,98,62,23,12,1,96,162,164,72,"617,783","77,218","540,565","3,168.12",94.4,148.1,19,"5,124","2,618",571,"2,905",14.9,0.7,66,0,"11,775",2.8,0.54,373,1.91,0.1,323,0.1,147,"3,348",17.17,0.8,31.5%,"2,288",0.5,1.10,1.46,71.6%,1.28,"3,192",16.4,0.8,533,94,195,33,"1,280",555,187,52,7,0,19,307,"5,277","2,354",501,"2,037","4,172","1,275",540,"2,135","919,841","4,717",3,29,481,0,109h,516,2.65,0.1,101,60,33m 33s,51.2%,01m 34s,51.8%,215.4,464,0.2,"302,155","22,745","279,410",144.0,11,"1,500",0.53,165,0.1,147,0.1,"1,165",1.05,70.4%,"1,579",0.8,1.57,0.1,48.9%,"1,072","2,098",604,300,"1,026","451,916",225.6,587,0.3,"315,628","54,473","261,155",152.2,26,"1,405",0.34,0.0,0.54,208,0.1,176,0.1,"1,123",1.15,72.8%,"1,615",0.8,53.5%,965,"2,074",671,240,"1,109","467,925","1,088",682,870
코린이유튜브구독좋아요알림설정#댓글껄쥐,kr,903,"2,908",11.14,0.5,"5,595",21.44,1.0,16,275.8,"1,135",4.3,0.2,2.4%,133,76,40,14,2,109,172,135,85,"967,184","200,617","766,567","3,705.69",112.4,173.8,36,"16,723","4,747","1,701","3,912",15.0,0.7,125,0,"18,483",3.3,0.57,848,3.25,0.2,637,0.1,220,"2,894",11.09,0.5,20.5%,"3,616",0.6,1.38,1.67,73.9%,1.52,"5,397",20.7,1.0,534,97,261,43,"1,713",983,371,120,25,0,81,109,"7,832","3,263","1,116","2,626","5,564","1,662",819,"2,938","1,534,769","5,880",3,55,439,3,143h,726,2.78,0.1,161,71,32m 58s,52.8%,01m 32s,61.7%,275.7,541,0.2,"486,169","81,792","404,377",173.3,29,"2,063",0.53,444,0.2,400,0.1,"1,933",1.30,72.0%,"2,692",1.0,0.42,0.0,51.9%,"1,350","2,806",751,469,"1,456","773,688",276.0,585,0.2,"481,015","118,825","362,190",174.4,43,"1,849",0.48,0.0,0.63,404,0.1,237,0.1,"1,683",1.46,75.9%,"2,705",1.0,53.7%,"1,276","2,758",911,350,"1,482","761,081","1,001",897,903
륜계최#2005,kr,712,"1,433",11.46,0.6,"3,372",26.98,1.3,2,252.5,624,5.0,0.2,2.3%,59,33,21,4,1,63,74,61,34,"431,385","62,733","368,652","3,451.08",111.5,166.8,24,"3,876","1,950",287,"1,951",15.6,0.8,48,0,"8,234",3.2,0.55,358,2.86,0.1,295,0.1,102,"1,543",12.34,0.6,31.9%,"1,748",0.7,1.18,1.50,74.3%,1.34,"2,307",18.5,0.9,250,51,125,35,809,423,170,33,2,0,25,72,"3,787","1,559",296,"1,258","2,587",702,436,"1,329","653,100","5,225",9,15,105,0,64h,352,2.82,0.1,74,66,30m 57s,51.4%,01m 29s,59.2%,246.5,305,0.2,"209,277","20,325","188,952",162.5,16,"1,004",0.52,187,0.1,174,0.1,858,1.11,72.4%,"1,111",0.9,0.58,0.1,50.2%,642,"1,288",321,247,646,"317,439",258.4,319,0.2,"222,108","42,408","179,700",171.0,33,947,0.38,0.0,0.59,171,0.1,121,0.1,890,1.26,76.1%,"1,196",0.9,52.6%,616,"1,299",381,189,683,"335,661",712,842,712
영면에 들다#doubt,kr,673,762,11.72,0.6,"1,617",24.88,1.2,2,226.2,345,5.3,0.3,2.0%,28,12,11,4,0,43,36,53,8,"210,223","21,380","188,843","3,234.20",100.2,152.9,16,"2,313",862,198,991,15.2,0.7,21,0,"4,065",3.0,0.52,118,1.82,0.1,107,0.1,51,748,11.51,0.5,25.6%,770,0.6,1.10,1.45,73.1%,1.27,"1,087",16.7,0.8,155,22,65,36,419,196,60,19,4,0,9,104,"2,088",848,143,653,"1,375",411,229,722,"310,986","4,784",4,13,174,1,34h,175,2.69,0.1,42,63,32m 16s,52.5%,01m 31s,64.6%,223.9,154,0.2,"100,525","6,683","93,842",150.3,10,488,0.54,60,0.1,52,0.1,370,1.08,73.7%,526,0.8,1.60,0.2,53.1%,314,669,196,128,355,"149,810",228.3,190,0.3,"109,698","14,697","95,001",155.4,21,503,0.32,0.0,0.51,58,0.1,55,0.1,400,1.12,72.5%,561,0.8,52.0%,339,706,215,101,367,"161,176",673,753,673
Heavenly Wings#0317,kr,661,935,7.92,0.4,"2,456",20.81,1.0,3,250.4,549,4.7,0.2,2.1%,53,29,17,5,1,52,44,52,27,"413,790","51,170","362,620","3,506.69",110.6,167.1,21,"3,782","1,821",261,"1,876",15.9,0.8,31,0,"7,636",3.1,0.53,349,2.96,0.1,315,0.1,84,"1,344",11.39,0.5,31.1%,"1,667",0.7,1.14,1.43,71.3%,1.28,"2,134",18.1,0.9,187,51,118,34,720,365,160,46,4,0,28,97,"3,840","1,563",311,"1,213","2,477",626,432,"1,264","620,192","5,256",3,20,24,2,62h,272,2.31,0.1,65,65,31m 43s,51.0%,01m 30s,55.1%,251.0,247,0.2,"210,295","18,987","191,308",165.3,15,993,0.50,207,0.2,204,0.2,869,1.10,70.1%,"1,095",0.9,0.82,0.1,48.7%,652,"1,272",294,243,620,"319,319",249.7,300,0.2,"203,495","32,183","171,312",168.9,27,883,0.26,0.0,0.56,142,0.1,111,0.1,798,1.18,72.6%,"1,039",0.9,53.4%,561,"1,205",332,189,644,"300,873",661,753,661
Xvape#1111,kr,654,365,11.77,0.6,607,19.58,1.0,0,261.9,155,5.0,0.2,2.9%,18,11,7,0,0,20,26,15,11,"110,497","30,569","79,928","3,564.42",116.8,176.8,49,"1,015",429,89,412,13.3,0.7,9,0,"2,307",3.7,0.66,84,2.71,0.1,44,0.1,27,345,11.13,0.6,28.0%,384,0.6,1.39,1.77,76.6%,1.58,573,18.5,0.9,73,7,31,30,202,96,41,14,0,0,9,11,837,348,91,262,625,223,93,363,"163,673","5,280",0,7,8,0,15h,87,2.81,0.1,24,74,30m 32s,58.1%,01m 30s,77.4%,261.7,72,0.2,"55,355","14,146","41,209",176.3,45,209,0.66,45,0.1,23,0.1,204,1.38,75.8%,289,0.9,0.35,0.0,55.1%,141,314,110,44,173,"82,189",262.0,83,0.3,"55,142","16,423","38,719",177.3,53,203,0.29,0.0,0.65,39,0.1,21,0.1,180,1.40,77.5%,284,0.9,61.1%,121,311,113,49,190,"81,484",685,944,654
매너유저#즐겜유저,kr,653,"1,550",10.76,0.5,"4,553",31.62,1.5,4,220.4,817,5.7,0.3,2.0%,61,36,14,7,2,65,89,73,42,"441,728",768,"440,960","3,067.56",96.8,146.5,0,"4,545","1,895",382,"2,279",15.8,0.8,58,0,"8,573",2.8,0.49,277,1.92,0.1,283,0.1,87,"1,397",9.70,0.5,27.8%,"1,672",0.6,1.01,1.37,73.5%,1.19,"2,312",16.1,0.8,299,62,144,35,886,422,140,33,6,0,15,177,"4,514","1,909",333,"1,450","3,015",856,513,"1,565","664,561","4,615",14,21,256,2,76h,380,2.64,0.1,80,60,31m 40s,51.9%,01m 30s,55.6%,217.6,400,0.3,"218,650","-13,763","232,413",143.7,-9,"1,201",0.45,135,0.1,164,0.1,821,0.96,72.2%,"1,155",0.8,1.23,0.1,50.9%,748,"1,522",386,292,774,"331,148",223.3,415,0.3,"223,078","14,531","208,547",149.4,10,"1,078",0.40,0.0,0.54,142,0.1,119,0.1,851,1.07,74.9%,"1,157",0.8,53.0%,702,"1,493",470,221,791,"333,413",689,670,653
Cletus Kasady#6857,kr,635,"1,090",8.93,0.4,"2,974",24.38,1.2,5,253.2,524,4.3,0.2,2.7%,66,39,18,7,0,39,68,58,32,"406,427","71,485","334,942","3,331.37",112.2,166.6,29,"3,613","1,670",247,"1,784",14.6,0.7,44,0,"8,016",3.3,0.58,312,2.56,0.1,228,0.1,105,913,7.48,0.4,30.2%,"1,560",0.6,1.22,1.52,74.9%,1.37,"2,179",17.9,0.9,216,48,122,41,748,369,164,44,5,0,26,86,"3,308","1,464",320,"1,144","2,439",711,447,"1,295","617,658","5,063",4,16,36,0,60h,339,2.78,0.1,74,66,29m 41s,53.1%,01m 29s,60.7%,256.8,269,0.2,"198,688","29,497","169,191",167.1,25,908,0.52,128,0.1,120,0.1,814,1.18,75.7%,"1,074",0.9,0.70,0.1,51.3%,579,"1,189",311,263,610,"305,364",249.8,253,0.2,"207,739","41,988","165,751",166.2,34,876,0.36,0.0,0.63,184,0.1,108,0.1,746,1.26,74.2%,"1,105",0.9,54.8%,565,"1,250",400,184,685,"312,294",645,884,635
최강전사미니특공대#메카니멀,kr,632,444,6.83,0.3,"1,124",17.29,0.9,6,273.4,256,3.9,0.2,2.6%,33,14,10,7,0,18,28,30,13,"229,895","56,823","173,072","3,536.85",118.7,178.8,44,"1,811","1,059",103,906,13.9,0.7,23,0,"5,163",4.0,0.61,201,3.09,0.2,130,0.1,67,785,12.08,0.6,35.6%,968,0.8,1.37,1.66,75.3%,1.52,"1,245",19.2,1.0,96,13,65,39,402,201,99,26,8,0,17,31,"1,922",738,160,532,"1,286",388,217,754,"351,599","5,409",1,14,118,1,32h,127,1.95,0.1,51,79,29m 47s,58.6%,01m 30s,78.5%,283.1,111,0.2,"114,826","30,979","83,847",185.8,50,440,0.52,83,0.1,76,0.1,498,1.42,74.9%,623,1.0,0.48,0.1,57.0%,266,618,183,99,352,"174,931",264.5,143,0.2,"115,069","25,844","89,225",172.3,39,466,0.35,0.0,0.69,118,0.2,54,0.1,470,1.33,75.6%,622,0.9,60.2%,266,668,205,118,402,"176,668",632,942,632
xae0#1309,kr,612,"1,894",9.47,0.5,"5,010",25.05,1.2,5,259.1,913,4.6,0.2,1.5%,63,31,22,6,3,75,96,85,39,"702,483","89,679","612,804","3,512.41",112.3,168.4,22,"5,877","3,350",380,"3,256",16.3,0.8,54,0,"13,492",3.2,0.55,644,3.22,0.2,534,0.1,142,"2,226",11.13,0.5,34.9%,"3,017",0.7,1.15,1.43,71.3%,1.29,"3,739",18.7,0.9,328,93,200,33,"1,252",642,282,77,9,1,44,113,"6,872","2,583",666,"2,052","4,171","1,001",734,"2,119","1,080,570","5,403",11,34,416,3,104h,504,2.52,0.1,104,67,31m 17s,50.8%,01m 30s,52.0%,252.3,424,0.2,"337,523","21,376","316,147",164.7,10,"1,667",0.51,297,0.1,287,0.1,"1,480",1.07,70.1%,"1,790",0.9,0.56,0.1,47.9%,"1,068","2,049",431,418,981,"517,062",265.6,487,0.2,"364,960","68,303","296,657",172.0,32,"1,589",0.27,0.0,0.58,347,0.2,247,0.1,"1,537",1.23,72.5%,"1,951",0.9,53.6%,984,"2,122",570,316,"1,138","563,508",634,757,612
토리코#2002,kr,611,"2,007",13.20,0.6,"3,578",23.54,1.1,4,230.8,813,5.3,0.3,2.5%,81,50,22,7,1,83,93,97,42,"485,502","45,600","439,902","3,194.09",99.1,152.4,14,"5,210","2,209",483,"2,276",15.0,0.7,51,0,"9,065",2.8,0.54,365,2.40,0.1,309,0.1,119,"2,213",14.56,0.7,28.0%,"1,849",0.6,1.12,1.48,73.4%,1.30,"2,559",16.8,0.8,336,66,152,33,"1,013",421,170,41,6,0,20,172,"4,702","1,890",534,"1,520","3,185",940,510,"1,665","735,146","4,836",5,27,366,2,81h,388,2.55,0.1,84,60,32m 13s,52.3%,01m 32s,55.3%,221.0,414,0.3,"230,864","-4,318","235,182",143.2,-3,"1,219",0.48,173,0.1,184,0.1,910,1.01,72.1%,"1,234",0.8,1.13,0.1,48.1%,837,"1,612",412,308,775,"356,203",240.9,398,0.3,"254,638","49,918","204,720",161.9,32,"1,057",0.34,0.0,0.61,192,0.1,125,0.1,939,1.25,74.8%,"1,325",0.8,56.6%,683,"1,573",528,202,890,"378,943",684,767,611
한지유#ZEFL1,kr,572,637,9.10,0.4,"1,957",27.96,1.3,4,277.8,378,5.4,0.3,1.4%,20,10,5,4,0,21,27,32,11,"263,855","51,666","212,189","3,769.36",119.8,181.2,35,"2,385","1,073",163,"1,136",16.2,0.8,25,0,"5,096",3.5,0.55,229,3.27,0.2,187,0.1,44,632,9.03,0.4,29.6%,991,0.7,1.21,1.54,73.6%,1.37,"1,369",19.6,0.9,106,30,70,33,446,237,99,30,4,2,17,43,"1,985",961,181,678,"1,456",375,225,778,"404,467","5,778",7,13,21,1,36h,203,2.90,0.1,39,73,31m 28s,53.4%,01m 30s,55.7%,266.3,156,0.2,"121,303","16,253","105,050",174.5,23,561,0.51,99,0.1,94,0.1,460,1.12,69.8%,630,0.9,0.61,0.1,50.6%,343,695,164,108,352,"185,094",288.3,221,0.3,"142,552","35,413","107,139",187.3,47,575,0.36,0.0,0.58,130,0.2,93,0.1,531,1.29,77.1%,739,1.0,56.0%,335,761,211,117,426,"219,373",646,901,572
